tag,method,x0,y0,xf,yf,f(xf),iters,grad_norm_fin
principal_diagonals,"Newton (regularizado, Armijo)",1.0,1.0,-1.410839252770444e-20,-1.4095157637903592e-20,-3.1148154493098046,5,2.7325944288445435e-19
principal_diagonals,Gradiente (Armijo),1.0,-1.0,-5.1509873783131915e-09,5.1509873783131915e-09,-3.1148154493098046,10000,9.981408567788063e-08
principal_diagonals,Gradiente (α=0.1),1.0,-1.0,1.4283856058714887e-11,-1.4283856058714887e-11,-3.1148154493098046,44,2.7678771616830673e-10
principal_diagonals,"Newton (regularizado, Armijo)",1.0,-1.0,-1.410839252770444e-20,1.4095157637903592e-20,-3.1148154493098046,5,2.7325944288445435e-19
principal_diagonals,Gradiente (Armijo),-1.0,1.0,5.1509873783131915e-09,-5.1509873783131915e-09,-3.1148154493098046,10000,9.981408567788063e-08
principal_diagonals,Gradiente (α=0.1),-1.0,1.0,-1.4283856058714887e-11,1.4283856058714887e-11,-3.1148154493098046,44,2.7678771616830673e-10
principal_diagonals,"Newton (regularizado, Armijo)",-1.0,1.0,1.410839252770444e-20,-1.4095157637903592e-20,-3.1148154493098046,5,2.7325944288445435e-19
principal_diagonals,Gradiente (Armijo),-1.0,-1.0,5.1509873783131915e-09,5.1509873783131915e-09,-3.1148154493098046,10000,9.981408567788063e-08
principal_diagonals,Gradiente (α=0.1),-1.0,-1.0,-1.4283856058714887e-11,-1.4283856058714887e-11,-3.1148154493098046,44,2.7678771616830673e-10
principal_diagonals,"Newton (regularizado, Armijo)",-1.0,-1.0,1.410839252770444e-20,1.4095157637903592e-20,-3.1148154493098046,5,2.7325944288445435e-19
principal_diagonals,Gradiente (Armijo),2.0,2.0,-1.8078420795938742e-09,-1.8078420795938742e-09,-3.1148154493098046,10000,3.503175041437447e-08
principal_diagonals,Gradiente (α=0.1),2.0,2.0,1.3160842081731834e-11,1.3160842081731834e-11,-3.1148154493098046,225,2.5502633236294563e-10
principal_diagonals,"Newton (regularizado, Armijo)",2.0,2.0,1.075334796318936e-22,1.0918784085699965e-22,-3.1148154493098046,6,2.0998372850854716e-21
principal_diagonals,Gradiente (Armijo),2.0,-2.0,-1.8078420795938742e-09,1.8078420795938742e-09,-3.1148154493098046,10000,3.503175041437447e-08
principal_diagonals,Gradiente (α=0.1),2.0,-2.0,1.3160842081731834e-11,-1.3160842081731834e-11,-3.1148154493098046,225,2.5502633236294563e-10
principal_diagonals,"Newton (regularizado, Armijo)",2.0,-2.0,1.075334796318936e-22,-1.0918784085699965e-22,-3.1148154493098046,6,2.0998372850854716e-21
